,title,company,salary,summary,location,link
78,Backend Developer,Compound Technologies Ltd,"£36,500 - £182,500 a year","We need a smart contract developer on Cardano, ADA.
A tool that allows the Cardano community to interact with their NFTs in a way not seen before.",London•Remote,https://uk.indeed.com/company/Compound-Technologies-Ltd/jobs/Backend-Developer-ce6bbe5fe5d1abef?fccid=36fd1b0c7b7f7308&vjs=3
79,Blockchain Developer,EQONEX,,"Digivault is a digital asset custody business, forming part of the Eqonex Group.
The team is highly experienced with backgrounds encompassing highly secure…",London,https://uk.indeed.com/rc/clk?jk=a7fa58e06b97c5cc&fccid=03a532a1d64bf128&vjs=3
80,Developer Backend (Blockchain integration),LATOKEN,,"And help other developers to locate the problem in their code.
Research : Take time to research and then teach / explain / demonstrate to your team and other…",London•Remote,https://uk.indeed.com/rc/clk?jk=2dbc0a45bf241a25&fccid=9c73e4076812680c&vjs=3
81,Blockchain/Solidity Developer (Codefi),Consensys,,"2+ years of as front-end or fullstack or backend developer (React, Node.js, ideally Typescript).
3+ years of experience as a Software Engineer.",London•Remote,https://uk.indeed.com/rc/clk?jk=59720836af0797d3&fccid=c3c98aa2beea188e&vjs=3
82,KYC Developer,LATOKEN,,"LATOKEN needs bug-free KYC service to comply with payments providers and isolate users from prohibited countries from trading.
Python, ML, DL, REST API.",London•Remote,https://uk.indeed.com/rc/clk?jk=4ece2b6d5c24c5d7&fccid=9c73e4076812680c&vjs=3
83,Blockchain Developer,Ajith Consulting,,"Collaborate with team and other developers to achieve outstanding results.
Working knowledge in application development, preferably on emerging platforms and…",London NW10 7FQ,https://uk.indeed.com/rc/clk?jk=73143ab4ab700ccf&fccid=45348ac22f4ca991&vjs=3
84,"Blockchain Core Developer - Golang, Ethereum",Clearmatics,,"Experience developing on a blockchain node client (preferably Ethereum-like).
Our compensation is _blockchain competitive_ and dependent on your skills &…",London,https://uk.indeed.com/company/Clearmatics/jobs/Blockchain-Core-Developer-e644a3631b25b917?fccid=2f23df39993bb616&vjs=3
85,Quantitative Developer,Blockchain.com,,They will collaborate closely with the trading operations team and engineers to validate and develop quantitative strategies.,London,https://uk.indeed.com/rc/clk?jk=5338f2ad282f88a6&fccid=f644de6d72c7ed45&vjs=3
86,Developer Backend (Payment services),LATOKEN,,"And help other developers to locate the problem in their code.
Research : Take time to research and then teach / explain / demonstrate to your team and other…",London•Remote,https://uk.indeed.com/rc/clk?jk=b837b0e2a4200a07&fccid=9c73e4076812680c&vjs=3
87,Senior Rust Developer (Blockchain),Blockchain Headhunter,"£120,000 - £160,000 a year","Regular time to improve your coding and blockchain knowledge.
Several years of professional experience in software & blockchain engineering, OR.",East London E1 6AN•Remote,https://uk.indeed.com/company/Blockchain-Headhunter/jobs/Senior-Rust-Developer-09be73a6650c350c?fccid=0983163b6b5d1d02&vjs=3
88,Head of Blockchain Infrastructure- Proof-of-Stake BFT Protoc...,Clearmatics,,"Work with various teams and the wider community to engage with new trends and opportunities revealed by internal data, blockchain research and the wider…",London,https://uk.indeed.com/company/Clearmatics/jobs/Head-Blockchain-Infrastructure-a9973bad5d6f56ed?fccid=2f23df39993bb616&vjs=3
89,Product Lead (Crystal Blockchain),Bitfury,,"Experience in the crypto industry and/or understanding of blockchain data.
Deep collaboration with developers and designers to build, develop, and execute on a…",London,https://uk.indeed.com/rc/clk?jk=f64766b012de6f2d&fccid=4927423575e88769&vjs=3
90,Blockchain Developer,Cryptxyz,,A cryptocurrency start-up is urgently seeking an experienced blockchain developer.,London,https://uk.indeed.com/company/Cryptxyz/jobs/Blockchain-Developer-605b490c4750247c?fccid=7a629f4f2a14fecb&vjs=3
91,"Full Stack Developer (Node.JS, React.JS, Docker, Kubernetes)",Aubay UK,"£60,000 - £70,000 a year",Aubay is seeking a Full Stack Developer with 5+ years of experience to develop cutting-edge Blockchain software solutions for start-up and corporate clients.,London•Remote,https://uk.indeed.com/company/Aubay-UK/jobs/Full-Stack-Developer-58163c50ddf450cf?fccid=1c290716cf3be91d&vjs=3
92,Blockchain Protocol Engineer (EMEA),Consensys,,ConsenSys Quorum is an open source protocol layer that provides developers with the flexibility and reliability needed to make their blockchain applications…,London,https://uk.indeed.com/rc/clk?jk=5263edf2edd80564&fccid=c3c98aa2beea188e&vjs=3
93,"Lead Software Engineer - Blockchain, Golang",Clearmatics,,"Coach junior developers, lead code reviews and demonstrations.
Contributions to open source projects and especially in blockchain.",London,https://uk.indeed.com/company/Clearmatics/jobs/Lead-Software-Engineer-925ee32ba500c910?fccid=2f23df39993bb616&vjs=3
94,newFullStack Software Developer - Realtime Trading,MBR Partners,,"Understanding in implementing blockchain solutions;
Ideally you will have a minimum of 5 years experience of in developing scalable mission critical financial…",London,https://uk.indeed.com/rc/clk?jk=3f42d00312587ed2&fccid=c29cde9509ea6817&vjs=3
95,"Senior Backend Developer (Go, Solidity)",Crystal Blockchain Analytics,,The Senior backend developer will join a team of Blockchain developers working closely with the tech lead and product lead to design and implement a market…,London,https://uk.indeed.com/rc/clk?jk=e2ba03b9033c2ada&fccid=f9f7ff5590f9f7e8&vjs=3
96,Senior Python Engineer,Qredo,"Up to £90,000 a year","Build products that can interface with both 3rd party Python modules and Qredo’s core blockchain client (written in Golang).
Job Types: Full-time, Permanent.",London,https://uk.indeed.com/company/Qredo/jobs/Senior-Python-Engineer-c734f94c8db9108c?fccid=e7207817da2dbf03&vjs=3
97,"Senior Backend Developer (Go, Solidity)",Bitfury,,The Senior backend developer will join a team of Blockchain developers working closely with the tech lead and product lead to design and implement a market…,London,https://uk.indeed.com/rc/clk?jk=b9218025471d6f93&fccid=4927423575e88769&vjs=3
98,Lead Software Engineer,Niomon Limited,"£50,000 - £90,000 a year",Niomon is challenging traditional and proprietary payment networks such as Visa and Mastercard with an open protocol that lowers the barriers to entry and…,London•Remote,https://uk.indeed.com/company/Niomon-Limited/jobs/Lead-Software-Engineer-b03314be1e1e40a9?fccid=3c9d04bc58b4213f&vjs=3
99,Senior DevOps Engineer (Docker),Aubay UK,"£50,000 - £80,000 a year","Checking and improving the developers local Docker Compose based builds.
Tech Stack You Will Be Working with *– Docker, CircleCI, Linux, GitLab, AWS, Azure…",London•Remote,https://uk.indeed.com/company/Aubay-UK/jobs/Senior-Devop-Engineer-4b1f187b208f22b3?fccid=1c290716cf3be91d&vjs=3
100,Remote Senior Full Stack Developer - Sustainability Fintech....,RecruitmentRevolution.com,"£65,000 - £85,000 a year","The role will suit candidates with a keen interest in technology and building meaningful products to improve the planet.
+ Experience working with rest APIs.",London•Remote,https://uk.indeed.com/rc/clk?jk=474a4968978f45be&fccid=af262cab8cc7f578&vjs=3
101,"QA Engineer (JavaScript, Node.JS, React, Playwright)",Aubay UK,"£40,000 - £60,000 a year","Aubay is seeking a mid-level QA developer to ramp up QA within an established development team.
Tech Stack You Will Be Working with *– *JS*, *NodeJS* backend + …",London•Remote,https://uk.indeed.com/company/Aubay-UK/jobs/QA-Engineer-b6a844af5be8de0d?fccid=1c290716cf3be91d&vjs=3
102,newSecurity Application Architect - BB/12/21,Hamilton Capital Holding,,"Ability to design complex technical solutions in an inclusive and participatory manner, to negotiate with and influence other design parties (business…",London,https://uk.indeed.com/company/Hamilton-Capital-Holding/jobs/Security-Application-Architect-b0b2d47d8fd0fad0?fccid=8ff28e72ca925e74&vjs=3
103,Golang Engineer (Infura),Consensys,,"Architect and design systems that provide reliable, scalable access to various blockchains and decentralized networks.",London,https://uk.indeed.com/rc/clk?jk=b330672c8e73a9d0&fccid=c3c98aa2beea188e&vjs=3
104,Head of Developer Success | Blockchain,Kandidate,,You understand the ins and outs of developer advocacy and how it fits into a broader platform strategy; You have experience in developer relations or a similar…,London,https://uk.indeed.com/rc/clk?jk=cfed2c9caf653dba&fccid=aaa1ce75facc133d&vjs=3
105,Backend Ruby Developer (remote),Versatile Staffing Solutions,"£55,000 - £75,000 a year",You feel comfortable tackling issues and enjoy designing and developing highly scalable systems and state-of-the-art features with highly maintainable code.,London•Remote,https://uk.indeed.com/company/Versatile-Staffing-Solutions/jobs/Backend-Ruby-Developer-7283c47f8be522ae?fccid=36aa919101d9d696&vjs=3
106,Senior Front-end Engineer (Codefi),Consensys,,"Experience in blockchain and building Dapps is a plus.
Data visualization and a fantastic data set to work on.
5+ years of experience building web applications.",London•Remote,https://uk.indeed.com/rc/clk?jk=f3e65a4f7dd018b1&fccid=c3c98aa2beea188e&vjs=3
107,"Frontend Developer - React, React Native, Web3",Hurren and Hope,"£70,000 - £90,000 a year","We are working with a FinTech who have developed a platform to make payments seamless and accessible to all across the cryptocurrency, blockchain, DeFi…",London,https://uk.indeed.com/rc/clk?jk=485dda0545181aee&fccid=adbb8f93e520f6b1&vjs=3
108,Lead DevOps Engineer (Codefi),ConsenSys (Remote),,"Codefi is the blockchain application suite powering commerce and finance, built to optimize business processes and digitize financial instruments.",London•Remote,https://uk.indeed.com/rc/clk?jk=e7578c7c5d1f9253&fccid=c3c98aa2beea188e&vjs=3
109,Senior Fullstack Developer - (Typescript/React),Archax,,"Understanding in implementing blockchain solutions;
The ideal applicant will bring previous experience of developing scalable mission critical financial systems…",London EC2N 1AR,https://uk.indeed.com/company/Archax/jobs/Senior-Fullstack-Developer-fc773752f34b86b7?fccid=1ce2307207ba67d2&vjs=3
110,Senior Full-Stack Developer,Elliptic,,"The team is responsible for the entirety of the Elliptic web platform, delivering value directly to our customers on a daily basis.",London,https://uk.indeed.com/rc/clk?jk=03ae44459e702b3b&fccid=cd25a2b1fe470676&vjs=3
